Frechet Distance,Hausdorff Distance,Wasserstein Distance,Model
0.24547198463985084,0.24547198463985084,0.24547198463985084,case_study_no_advection
0.24547192710697233,0.24547192710697233,0.24547192710697233,case_study_no_advection
0.245472014675914,0.245472014675914,0.245472014675914,case_study_no_advection
0.24547192097759307,0.24547192097759307,0.24547192097759307,case_study_no_advection
0.24547193598870032,0.24547193598870032,0.24547193598870032,case_study_no_advection
0.24547220352351504,0.24547220352351504,0.24547220352351504,case_study_no_advection
0.2454721125857282,0.2454721125857282,0.2454721125857282,case_study_no_advection
0.24547190411855738,0.24547190411855738,0.24547190411855738,case_study_no_advection
0.24547213731582873,0.24547213731582873,0.24547213731582873,case_study_no_advection
0.24547193989257404,0.24547193989257404,0.24547193989257404,case_study_no_advection
0.24547199633185496,0.24547199633185496,0.24547199633185496,case_study_no_advection
0.24547196397147705,0.24547196397147705,0.24547196397147705,case_study_no_advection
0.24547216186544324,0.24547216186544324,0.24547216186544324,case_study_no_advection
0.24547190961900134,0.24547190961900134,0.24547190961900134,case_study_no_advection
0.24547202798594622,0.24547202798594622,0.24547202798594622,case_study_no_advection
0.2454721059888267,0.2454721059888267,0.2454721059888267,case_study_no_advection
0.24547201276918806,0.24547201276918806,0.24547201276918806,case_study_no_advection
0.245472297091723,0.245472297091723,0.245472297091723,case_study_no_advection
0.2454716926818235,0.2454716926818235,0.2454716926818235,case_study_no_advection
0.2454718521464456,0.2454718521464456,0.2454718521464456,case_study_no_advection
0.24547229573589582,0.24547229573589582,0.24547229573589582,case_study_no_advection
0.24547187343401214,0.24547187343401214,0.24547187343401214,case_study_no_advection
0.24547229327786219,0.24547229327786219,0.24547229327786219,case_study_no_advection
0.24547203892683342,0.24547203892683342,0.24547203892683342,case_study_no_advection
0.24547200003170636,0.24547200003170636,0.24547200003170636,case_study_no_advection
0.24547215507505546,0.24547215507505546,0.24547215507505546,case_study_no_advection
0.24547191802630003,0.24547191802630003,0.24547191802630003,case_study_no_advection
0.2454719696948093,0.2454719696948093,0.2454719696948093,case_study_no_advection
0.2454720771586931,0.2454720771586931,0.2454720771586931,case_study_no_advection
0.2454716683059765,0.2454716683059765,0.2454716683059765,case_study_no_advection
0.2454721542322679,0.2454721542322679,0.2454721542322679,case_study_no_advection
0.2454719866619617,0.2454719866619617,0.2454719866619617,case_study_no_advection
0.24547192645147448,0.24547192645147448,0.24547192645147448,case_study_no_advection
0.24547213077556915,0.24547213077556915,0.24547213077556915,case_study_no_advection
0.2454719209620545,0.2454719209620545,0.2454719209620545,case_study_no_advection
0.24547208632026837,0.24547208632026837,0.24547208632026837,case_study_no_advection
0.24547190010660117,0.24547190010660117,0.24547190010660117,case_study_no_advection
0.24547190560959808,0.24547190560959808,0.24547190560959808,case_study_no_advection
0.2454719716657625,0.2454719716657625,0.2454719716657625,case_study_no_advection
0.24547194117272986,0.24547194117272986,0.24547194117272986,case_study_no_advection
0.2454721598235355,0.2454721598235355,0.2454721598235355,case_study_no_advection
0.24547193422204994,0.24547193422204994,0.24547193422204994,case_study_no_advection
0.24547177469460613,0.24547177469460613,0.24547177469460613,case_study_no_advection
0.24547187483854593,0.24547187483854593,0.24547187483854593,case_study_no_advection
0.24547196824865086,0.24547196824865086,0.24547196824865086,case_study_no_advection
0.24547203606906803,0.24547203606906803,0.24547203606906803,case_study_no_advection
0.24547206016892648,0.24547206016892648,0.24547206016892648,case_study_no_advection
0.2454723415578387,0.2454723415578387,0.2454723415578387,case_study_no_advection
0.24547177223277544,0.24547177223277544,0.24547177223277544,case_study_no_advection
0.24547184850199288,0.24547184850199288,0.24547184850199288,case_study_no_advection
0.24547189790819027,0.24547189790819027,0.24547189790819027,case_study_no_advection
0.24547204483844706,0.24547204483844706,0.24547204483844706,case_study_no_advection
0.2454721106256474,0.2454721106256474,0.2454721106256474,case_study_no_advection
0.24547211438699015,0.24547211438699015,0.24547211438699015,case_study_no_advection
0.24547204154107,0.24547204154107,0.24547204154107,case_study_no_advection
0.24547193421590283,0.24547193421590283,0.24547193421590283,case_study_no_advection
0.24547192152665256,0.24547192152665256,0.24547192152665256,case_study_no_advection
0.2454720329139766,0.2454720329139766,0.2454720329139766,case_study_no_advection
0.24547228234546764,0.24547228234546764,0.24547228234546764,case_study_no_advection
0.24547188525007377,0.24547188525007377,0.24547188525007377,case_study_no_advection
0.24547202095796083,0.24547202095796083,0.24547202095796083,case_study_no_advection
0.24547203848750587,0.24547203848750587,0.24547203848750587,case_study_no_advection
0.24547198652565183,0.24547198652565183,0.24547198652565183,case_study_no_advection
0.24547177806985285,0.24547177806985285,0.24547177806985285,case_study_no_advection
0.24547197671421173,0.24547197671421173,0.24547197671421173,case_study_no_advection
0.24547189613943768,0.24547189613943768,0.24547189613943768,case_study_no_advection
0.24547210751418302,0.24547210751418302,0.24547210751418302,case_study_no_advection
0.2454714116101788,0.2454714116101788,0.2454714116101788,case_study_no_advection
0.24547213132406773,0.24547213132406773,0.24547213132406773,case_study_no_advection
0.24547197928090533,0.24547197928090533,0.24547197928090533,case_study_no_advection
0.24547208990968103,0.24547208990968103,0.24547208990968103,case_study_no_advection
0.24547192181056038,0.24547192181056038,0.24547192181056038,case_study_no_advection
0.24547209293170225,0.24547209293170225,0.24547209293170225,case_study_no_advection
0.2454718869493246,0.2454718869493246,0.2454718869493246,case_study_no_advection
0.24547181877331803,0.24547181877331803,0.24547181877331803,case_study_no_advection
0.2454718128751038,0.2454718128751038,0.2454718128751038,case_study_no_advection
0.24547199424292585,0.24547199424292585,0.24547199424292585,case_study_no_advection
