model,quantile,param,summary_statistic,Cramer-von Mises Distance,Frechet Distance,Hausdorff Distance,Wasserstein Distance
0.05_noise,5%,cy,Mean,0.09888578988963731,0.4957161649356625,0.48026724127271364,0.569986167078153
0.05_noise,5%,cy,Median,0.08849748876877533,0.49305403148114285,0.4780730469921001,0.5662469661989065
0.05_noise,5%,cy,StDev,0.06732053943026464,0.07064153314291209,0.07013753795342109,0.07303718130636139
0.05_noise,5%,cy,Lower Bound,0.004262029355848283,0.3719175665802418,0.35774168983997756,0.4492471303268583
0.05_noise,5%,cy,Upper Bound,0.24503888726995682,0.627980818385193,0.6109778657386329,0.7147407561301791
0.05_noise,5%,cy,RMSE,0.411502796368604,0.006962661720198916,0.02193277652647311,0.06624860689634003
0.05_noise,5%,s,Mean,0.00045446374733316026,0.0005026213286218919,0.000511349776770543,0.00041476856926248674
0.05_noise,5%,s,Median,0.0004349903057003479,0.0005033417527597327,0.0005164872684745312,0.0003844236917890965
0.05_noise,5%,s,StDev,0.00027717033208009354,0.0002864989110732915,0.00028696425239005255,0.00026977586769947763
0.05_noise,5%,s,Lower Bound,2.290506255078232e-05,2.6429818843242988e-05,2.757018789451525e-05,1.7767236093951265e-05
0.05_noise,5%,s,Upper Bound,0.00096139708685428,0.0009747121815054824,0.0009760894194749423,0.0009421293151842916
0.05_noise,5%,s,RMSE,0.00038499586810973526,0.00045334695041875973,0.0004664923178111541,0.0003344299269923916
0.05_noise,1%,cx,Mean,0.10519536489515677,0.4433689426202887,0.4575891446876033,0.5491378081146454
0.05_noise,1%,cx,Median,0.10316440285220767,0.44421671238549776,0.4582821652667284,0.5468671742218971
0.05_noise,1%,cx,StDev,0.045421432278876524,0.028499385896906877,0.034041295117054435,0.040900881803222953
0.05_noise,1%,cx,Lower Bound,0.020728019305798998,0.38787316825723983,0.3917912575334711,0.4799905843651444
0.05_noise,1%,cx,Upper Bound,0.19281160273437073,0.4942063498292793,0.5185714210923019,0.6288024565314235
0.05_noise,1%,cx,RMSE,0.3968361147630126,0.055784326711408865,0.041720663801456,0.046871393046263504
0.05_noise,1%,cy,Mean,0.060845331783986184,0.511795785167495,0.47128075710653794,0.5554737708832493
0.05_noise,1%,cy,Median,0.0550138254285471,0.5119691346457159,0.4717092496029117,0.5527303202634689
0.05_noise,1%,cy,StDev,0.0392063398451554,0.037099372918622746,0.03315912163076511,0.04260773458659431
0.05_noise,1%,cy,Lower Bound,0.003182384703363536,0.4442933204819733,0.40806723737231443,0.4847115848200897
0.05_noise,1%,cy,Upper Bound,0.13887839900417837,0.5786349797353217,0.5290136707337371,0.6397329207258465
0.05_noise,1%,cy,RMSE,0.44498666341849374,0.011982779288528641,0.02829429306518801,0.052734186403598074
0.05_noise,1%,s,Mean,0.000510545915459756,0.0005350537856856579,0.0005591024100235943,0.0002320553816667216
0.05_noise,1%,s,Median,0.0004919577958005334,0.0005393061008867413,0.0005824257978052788,0.000210285999937724
0.05_noise,1%,s,StDev,0.00020874905798283288,0.0002695652588947359,0.00027669532576817793,0.00015653083557284553
0.05_noise,1%,s,Lower Bound,0.00016323119006212753,4.941733941390554e-05,4.402651235141743e-05,9.462293139686499e-06
0.05_noise,1%,s,Upper Bound,0.0009307819926998791,0.0009757319614177599,0.0009798939922219536,0.0005550206203961324
0.05_noise,1%,s,RMSE,0.00044196649348792394,0.0004893261392747791,0.0005324443761815896,0.0001603020000609577
0.05_noise,0.1%,cx,Mean,0.12488451875628223,0.43749581711939706,0.4310681779448079,0.5506361832411045
0.05_noise,0.1%,cx,Median,0.12375954126322794,0.4389837753779371,0.4289396375462087,0.54956096709313
0.05_noise,0.1%,cx,StDev,0.020968315984294033,0.01676285675592045,0.01838171970702731,0.022247453478992766
0.05_noise,0.1%,cx,Lower Bound,0.08864080715002631,0.40349125527569013,0.40073428213369977,0.5123297975821192
0.05_noise,0.1%,cx,Upper Bound,0.16677275840856168,0.4646783798267805,0.47157704062126776,0.5935097698793055
0.05_noise,0.1%,cx,RMSE,0.376241558732501,0.06102109707542172,0.07106387504738125,0.04957136658527437
0.05_noise,0.1%,cy,Mean,0.04396408409397289,0.5150208254530788,0.46083249692257056,0.5590877116293632
0.05_noise,0.1%,cy,Median,0.041800182343889866,0.5146638747018515,0.463530660821712,0.5586793646669775
0.05_noise,0.1%,cy,StDev,0.01653778241286614,0.016403068050293054,0.018037538661902438,0.02197799031792001
0.05_noise,0.1%,cy,Lower Bound,0.018063028280356032,0.4830165346503341,0.42460811697924106,0.5199710513003828
0.05_noise,0.1%,cy,Upper Bound,0.09092109863906048,0.5450819699356626,0.48939538318590076,0.6003671628332309
0.05_noise,0.1%,cy,RMSE,0.45820008882460656,0.014679669090820722,0.03647875381269989,0.05868816150753251
0.05_noise,0.1%,s,Mean,0.0004854684623121562,0.0006476118898270283,0.0007599751266410722,8.103479540997805e-05
0.05_noise,0.1%,s,Median,0.00045821099953165267,0.0006332718889334562,0.0008155686265796112,7.299995943699475e-05
0.05_noise,0.1%,s,StDev,0.0001359604652860526,0.0001933099268867173,0.00019604981383798431,5.5310672504280505e-05
0.05_noise,0.1%,s,Lower Bound,0.00028786201154280556,0.0003150322315044462,0.00030379406757692054,3.170582182830596e-06
0.05_noise,0.1%,s,Upper Bound,0.0007575197367769394,0.0009837219779109904,0.0009916498518288501,0.00019547202297083118
0.05_noise,0.1%,s,RMSE,0.00040825379649486585,0.0005833286085677344,0.0007656145317490686,2.317586978026602e-05
0.075_noise,5%,cx,Mean,0.10135952879792162,0.5082125922025909,0.5041698923276132,0.6544063448059773
0.075_noise,5%,cx,Median,0.08817084209828359,0.505073826000534,0.5036004278183335,0.6514130207813968
0.075_noise,5%,cx,StDev,0.07253239657278049,0.07568590200422887,0.07768520580954749,0.08219353659657253
0.075_noise,5%,cx,Lower Bound,0.003857983384704521,0.37470429424038587,0.36188012090127886,0.5103565865807193
0.075_noise,5%,cx,Upper Bound,0.2609783153383434,0.6501845752807379,0.6446217168705819,0.8129791398444783
0.075_noise,5%,cx,RMSE,0.4118294948465961,0.005097759152674327,0.0036320165079886816,0.1514138620974975
0.075_noise,5%,cy,Mean,0.11514175448146755,0.5052367070837349,0.45673067374784765,0.6511770294441019
0.075_noise,5%,cy,Median,0.1013152725701559,0.5031767373874145,0.4565523426655236,0.6493639384887986
0.075_noise,5%,cy,StDev,0.08159327296847609,0.06993823488521819,0.0613088985024767,0.08159594563038292
0.075_noise,5%,cy,Lower Bound,0.004352298393386167,0.38726161032817485,0.3463373651524263,0.5074347749351884
0.075_noise,5%,cy,Upper Bound,0.2931719957908257,0.6342478146094578,0.565126740087749,0.8070996118322051
0.075_noise,5%,cy,RMSE,0.39868519914091083,0.0032160845468772563,0.04344996233004621,0.14936518940014015
0.075_noise,5%,s,Mean,0.00042777506357283436,0.0005128448033423508,0.0005292238753530467,0.0002778817277791669
0.075_noise,5%,s,Median,0.0004006973120679887,0.0005182365389646296,0.0005415393035646087,0.00025000550897828744
0.075_noise,5%,s,StDev,0.0002771096339112504,0.0002785498396463133,0.00028369884350980674,0.0001896358936826399
0.075_noise,5%,s,Lower Bound,1.7503443409233462e-05,3.207211486799444e-05,3.244653303680004e-05,1.1139864507003654e-05
0.075_noise,5%,s,Upper Bound,0.000955792355129108,0.0009726123399273983,0.0009777303296938373,0.0006742605813543084
0.075_noise,5%,s,RMSE,0.00035070238878714505,0.0004682417006483332,0.000491544583640746,0.00020001041212555225
0.075_noise,1%,cx,Mean,0.059553355908933556,0.49196157699693593,0.4905090376106086,0.6431500314870564
0.075_noise,1%,cx,Median,0.05144179303302701,0.4908729582234095,0.4907017312839869,0.6409232467458758
0.075_noise,1%,cx,StDev,0.04364754421121284,0.042268669308572725,0.04206843069673021,0.05434171288333669
0.075_noise,1%,cx,Lower Bound,0.0019731344444347656,0.41698508787620736,0.41270979259445106,0.5481122327701365
0.075_noise,1%,cx,Upper Bound,0.1506923814645901,0.5766527478116398,0.5680499377535837,0.7490217925665462
0.075_noise,1%,cx,RMSE,0.4485590365863267,0.0091498340875372,0.009322518460535794,0.14092536278671983
0.075_noise,1%,cy,Mean,0.12082857873003264,0.5180000004707348,0.4457411838152286,0.6440399506482325
0.075_noise,1%,cy,Median,0.11649969740791268,0.5159052370744759,0.4443035794447323,0.6434893691289347
0.075_noise,1%,cy,StDev,0.0463878900670758,0.03722858206236781,0.028889782595176113,0.05646697626672328
0.075_noise,1%,cy,Lower Bound,0.04482087828649971,0.45710947430614046,0.39578328739487467,0.5429413104929366
0.075_noise,1%,cy,Upper Bound,0.21497454534654512,0.5889083748365185,0.5009097590868905,0.7486238122396668
0.075_noise,1%,cy,RMSE,0.38350107230622243,0.01591458001467563,0.055698284958647266,0.14349168712718993
0.075_noise,1%,s,Mean,0.00034926907024891945,0.0005409472536248918,0.0006283003701103829,0.00012266338323873538
0.075_noise,1%,s,Median,0.0003173033790600358,0.0005385326561135333,0.0006460201172000152,0.00010932880225976248
0.075_noise,1%,s,StDev,0.00022040699676462521,0.00022886980916098968,0.00022961153741464938,8.49101122393136e-05
0.075_noise,1%,s,Lower Bound,1.704541790547192e-05,0.00013619426703722484,0.00018468965112693612,4.784099341362063e-06
0.075_noise,1%,s,Upper Bound,0.0008241399520012963,0.0009536862129531094,0.000981738157599406,0.0003015956433581401
0.075_noise,1%,s,RMSE,0.0002673164096323449,0.0004885455565993674,0.0005960314666894411,5.9347439024534926e-05
0.075_noise,0.1%,cx,Mean,0.03168569975926303,0.4971731992956315,0.461935654912141,0.63205144519456
0.075_noise,0.1%,cx,Median,0.019448930578574216,0.49708149497094534,0.4620148179358516,0.6313381700237117
0.075_noise,0.1%,cx,StDev,0.03553522745277268,0.017023193366432977,0.01784406425393483,0.02986157782166841
0.075_noise,0.1%,cx,Lower Bound,0.000818963106443707,0.46654558108541516,0.4285383514592131,0.5791555699983141
0.075_noise,0.1%,cx,Upper Bound,0.12464074793834168,0.5284938820362105,0.49440675732873446,0.6892072883496867
0.075_noise,0.1%,cx,RMSE,0.4805516803823836,0.0030314040580092217,0.037992961031659694,0.1313447434063916
0.075_noise,0.1%,cy,Mean,0.14576973183528563,0.507499899113811,0.44831939231751017,0.6389560852956494
0.075_noise,0.1%,cy,Median,0.14965932038201563,0.507147228165829,0.4478057029437635,0.6379078668388841
0.075_noise,0.1%,cy,StDev,0.03276990412747391,0.014842656099535598,0.012686661657289761,0.035122885812851265
0.075_noise,0.1%,cy,Lower Bound,0.07314466454175686,0.4817771613531272,0.4267164898092007,0.577190032315217
0.075_noise,0.1%,cy,Upper Bound,0.2014276636497765,0.535156930966403,0.4720246766639851,0.7040088229670894
0.075_noise,0.1%,cy,RMSE,0.3503421863872005,0.0071862900790353864,0.05219747141548888,0.13791977097468633
0.075_noise,0.1%,s,Mean,0.00038219311237075194,0.0005756564307263423,0.0008043210249203755,3.734806343662522e-05
0.075_noise,0.1%,s,Median,0.00033421253695149804,0.0005744870538799306,0.0008082617699115538,3.301504049017719e-05
0.075_noise,0.1%,s,StDev,0.00013933377914930706,0.00013148108011070054,0.00011383656651668022,2.613509759499519e-05
0.075_noise,0.1%,s,Lower Bound,0.00021958899538503007,0.0003388325821787836,0.0005973977992488671,1.4521953326852525e-06
0.075_noise,0.1%,s,Upper Bound,0.0007057833043387779,0.0008176568234655804,0.0009889500150134884,9.271306643025375e-05
0.075_noise,0.1%,s,RMSE,0.0002842747831252764,0.0005245156151990341,0.0007582788006538193,1.7036096644104853e-05
linear_noise,5%,cx,Mean,0.16178314345270386,0.44970171617759225,0.48825188588758145,0.5001582788009616
linear_noise,5%,cx,Median,0.16215467392937719,0.44904726293463443,0.4873809363859092,0.49958545769058815
linear_noise,5%,cx,StDev,0.07276064796020448,0.07010149384806107,0.0687161478058313,0.06711852208190137
linear_noise,5%,cx,Lower Bound,0.027677442155227158,0.32295574220517204,0.3630414196417705,0.3837120315134721
linear_noise,5%,cx,Upper Bound,0.2919061287518669,0.5791601994637324,0.6172149360689935,0.625539821971811
linear_noise,5%,cx,RMSE,0.3378456634636729,0.05095514322151879,0.012626727419898127,0.0005871710931676413
linear_noise,5%,cy,Mean,0.1434094083237989,0.49176146359645706,0.4570838155580627,0.49469658978346787
linear_noise,5%,cy,Median,0.14333976358975428,0.4903854938555846,0.45567329760567804,0.4926119644817913
linear_noise,5%,cy,StDev,0.07082371973951557,0.07092121254824796,0.06794248566545576,0.06949451481055541
linear_noise,5%,cy,Lower Bound,0.014631749392958667,0.3669026179126632,0.3365262043979152,0.37712444838792436
linear_noise,5%,cy,Upper Bound,0.2719943296976899,0.6223317400525282,0.578867298774761,0.6281178537438418
linear_noise,5%,cy,RMSE,0.356660529844592,0.009626270674341545,0.0443294487748126,0.007407183373598562
linear_noise,5%,s,Mean,0.0006224642327014375,0.0004946328289200637,0.0005134834596724152,0.0004446831946925625
linear_noise,5%,s,Median,0.0006323394939549232,0.0004921363486991436,0.0005194205161087547,0.0004230042009422419
linear_noise,5%,s,StDev,0.00022208514157054138,0.00028592718854985244,0.0002851419963549114,0.00027680269238015845
linear_noise,5%,s,Lower Bound,0.00021044876473376155,2.5286594241874903e-05,2.880501699872415e-05,2.0445673886211788e-05
linear_noise,5%,s,Upper Bound,0.0009795914258442925,0.0009729843904807145,0.0009757034447444422,0.0009576114459858284
linear_noise,5%,s,RMSE,0.000582341900757548,0.0004421415560118366,0.0004694253854395299,0.0003730102443076092
linear_noise,1%,cx,Mean,0.13902592707768036,0.438170003520406,0.47383356334025545,0.4823234507908264
linear_noise,1%,cx,Median,0.13930324678529135,0.43706741082735884,0.4733811045054895,0.48000038207219187
linear_noise,1%,cx,StDev,0.05361810281515417,0.03778148067042611,0.035111671650874116,0.03703019948370505
linear_noise,1%,cx,Lower Bound,0.045762325234986745,0.3716338223829244,0.40895787694320396,0.4209361701131158
linear_noise,1%,cx,Upper Bound,0.23967432693496363,0.5085160637793721,0.5370815048812794,0.5547559538815441
linear_noise,1%,cx,RMSE,0.3606975249837458,0.0629348558149592,0.026624515802850777,0.020008279409716383
linear_noise,1%,cy,Mean,0.11776841365846995,0.48063172267163606,0.4554542209160964,0.4804134868257228
linear_noise,1%,cy,Median,0.11720064859457516,0.4794378168638,0.4562931247242705,0.47782318140844265
linear_noise,1%,cy,StDev,0.043066954873751555,0.033165907174965786,0.036814795343125095,0.038406422460186614
linear_noise,1%,cy,Lower Bound,0.043790278361982835,0.42352671090867217,0.3861118955805361,0.41737519160611375
linear_noise,1%,cy,Upper Bound,0.20010531019222416,0.5447129534437998,0.5201056538818695,0.5562674094511105
linear_noise,1%,cy,RMSE,0.38279973193285166,0.020567004827450247,0.043710583826103024,0.02218286026882966
linear_noise,1%,s,Mean,0.0005261855603831333,0.00038768951523563447,0.0006133915671543685,0.0002965550656874803
linear_noise,1%,s,Median,0.0005116014930010855,0.0003616733754819009,0.0006386321336184588,0.00027274135674773244
linear_noise,1%,s,StDev,0.00016625395431411064,0.00024683008561260746,0.00024420162392950115,0.00019503643570495236
linear_noise,1%,s,Lower Bound,0.0002503504983680526,1.864675436606881e-05,0.00012088113985195064,1.2950494210743379e-05
linear_noise,1%,s,Upper Bound,0.0008756961805827974,0.0008807264293238045,0.0009807917108627772,0.0006951772755031517
linear_noise,1%,s,RMSE,0.00046160682766560514,0.00031170070627327157,0.0005886454665103499,0.0002227591308822543
linear_noise,0.1%,cx,Mean,0.12824373925878946,0.4311059479477157,0.465902043520109,0.48392646028845504
linear_noise,0.1%,cx,Median,0.13131849319640548,0.43127569620954326,0.46572105094445576,0.48270537323942103
linear_noise,0.1%,cx,StDev,0.025615593474053976,0.01757730147714057,0.015177473156985475,0.017046035681784994
linear_noise,0.1%,cx,Lower Bound,0.07825678725605638,0.3985743360502931,0.4383340261609732,0.45592262958342317
linear_noise,0.1%,cx,Upper Bound,0.17031165603082457,0.4630820512029217,0.4929344586177013,0.5175267381470801
linear_noise,0.1%,cx,RMSE,0.3686831081863294,0.0687288057227516,0.03428889898932738,0.017313932828731123
linear_noise,0.1%,cy,Mean,0.11911386125989135,0.47773572050606405,0.44603011791898584,0.48551417108120004
linear_noise,0.1%,cy,Median,0.11747876164484541,0.4774663507522967,0.4450215842738053,0.48431203527106775
linear_noise,0.1%,cy,StDev,0.022574899066524958,0.014193185662184422,0.018090236482738994,0.017558045498186018
linear_noise,0.1%,cy,Lower Bound,0.08228079156433436,0.4523390583754577,0.41498876238590043,0.45675198475117545
linear_noise,0.1%,cy,Upper Bound,0.16343825045352453,0.5046436111346043,0.4804321584249705,0.5200962290109822
linear_noise,0.1%,cy,RMSE,0.3825229169607488,0.02254246132687267,0.054984150998640055,0.015712442895673435
linear_noise,0.1%,s,Mean,0.0003890436631297405,0.0002204316412160218,0.0007346064391979445,0.00013657845064813512
linear_noise,0.1%,s,Median,0.0003829785676464,0.00021655913469148682,0.0007430098371452313,0.00012586201323581503
linear_noise,0.1%,s,StDev,8.3448130781826e-05,0.0001270841407534668,0.0001301698519307992,8.94752468932691e-05
linear_noise,0.1%,s,Lower Bound,0.00024503798918729184,1.3277506606770338e-05,0.00047116641347852005,6.067827112458857e-06
linear_noise,0.1%,s,Upper Bound,0.0005667542904035267,0.000452864827446895,0.0009567589031148432,0.00031885182192127685
linear_noise,0.1%,s,RMSE,0.00033299671865983656,0.00016666688217378242,0.0006930343848866506,7.601115290082393e-05
no_noise,5%,cx,Mean,0.34366445572532844,0.49218962136574473,0.49229007906161854,0.4986179939072987
no_noise,5%,cx,Median,0.34100290920018145,0.49033417545252367,0.4910727464313709,0.49782544464615247
no_noise,5%,cx,StDev,0.07300909166097228,0.06671572123644287,0.06471354827127591,0.06493418726845873
no_noise,5%,cx,Lower Bound,0.2156757538698333,0.3759342800918931,0.3776662647691789,0.387832985783733
no_noise,5%,cx,Upper Bound,0.4857146217922821,0.6190192358492227,0.6142348467673648,0.6166096887586678
no_noise,5%,cx,RMSE,0.15899777546694244,0.009673570898211659,0.00893528518173651,0.0022219308754331036
no_noise,5%,cy,Mean,0.3436270736551173,0.4885746143602742,0.4754785928933358,0.4986238643845964
no_noise,5%,cy,Median,0.3409693404406942,0.48669264058967143,0.47454351033274705,0.49778642689695635
no_noise,5%,cy,StDev,0.07299295138737964,0.06373652535491674,0.06631904236329661,0.06492741642034713
no_noise,5%,cy,Lower Bound,0.21570650065244096,0.37985110665182165,0.3608827955871215,0.3878825256822993
no_noise,5%,cy,Upper Bound,0.48572061453184573,0.6070043571774454,0.5969782212472748,0.6165717441651118
no_noise,5%,cy,RMSE,0.1590314944507159,0.01331365894664354,0.025460963704885983,0.002261976975227729
no_noise,5%,s,Mean,0.0003541072972799344,0.0004753559291430761,0.000477586849955762,0.0004542864381920423
no_noise,5%,s,Median,0.0003073471889618001,0.0004634679320886542,0.00046667591803835584,0.00043266490807027515
no_noise,5%,s,StDev,0.00023886290679796585,0.00028597187151891144,0.00028630856885432235,0.00028397843284422465
no_noise,5%,s,Lower Bound,3.297922469034121e-05,2.2778270453753385e-05,2.2901808029975646e-05,2.0671590955010573e-05
no_noise,5%,s,Upper Bound,0.0008792472316815145,0.0009700501279357044,0.0009705544696270261,0.0009654299535592868
no_noise,5%,s,RMSE,0.0002573527652824718,0.00041347537964394704,0.000416682406496307,0.0003826719317292408
no_noise,1%,cx,Mean,0.34472121110670284,0.4838733385245456,0.4841499850351924,0.4938667285176986
no_noise,1%,cx,Median,0.3439957160772819,0.48177497198529223,0.48215752697504555,0.49208530202718004
no_noise,1%,cx,StDev,0.05449039459822755,0.0338328276550305,0.033297412084559865,0.03285757314429434
no_noise,1%,cx,Lower Bound,0.24612709821820572,0.42621466939424224,0.42729493632364135,0.4388628830965744
no_noise,1%,cx,Upper Bound,0.4460738533218933,0.551960078226603,0.5510768811570838,0.5579624272905059
no_noise,1%,cx,RMSE,0.15600646600442425,0.018230870601962653,0.017847972482477704,0.007929335285840165
no_noise,1%,cy,Mean,0.344631402181988,0.48852428328628755,0.48649956943041417,0.4938359469553315
no_noise,1%,cy,Median,0.3438865175627168,0.4866759046305951,0.4849371773054952,0.4919974983580808
no_noise,1%,cy,StDev,0.05448452311306148,0.03170813568124931,0.03237471842851717,0.032867175941611364
no_noise,1%,cy,Lower Bound,0.24598981763842737,0.4356273164216353,0.4317329642957261,0.43888756645931637
no_noise,1%,cy,Upper Bound,0.4458813005117678,0.5515151346059016,0.5502554426254673,0.558085630613399
no_noise,1%,cy,RMSE,0.15611537719772228,0.013330253993251674,0.015068396802207373,0.008015431702884261
no_noise,1%,s,Mean,0.00015407228431295157,0.00039726873903635836,0.00039588857389443263,0.00034873403013231864
no_noise,1%,s,Median,0.00014116164006077147,0.0003665566454054037,0.0003646904183664243,0.0003105788790613697
no_noise,1%,s,StDev,8.062963914748189e-05,0.00025969382199115507,0.00025959471721256845,0.00024054881163940145
no_noise,1%,s,Lower Bound,3.948466747881208e-05,1.773774536144326e-05,1.7373936580173792e-05,1.468688977521645e-05
